Created At,Text
09-03-2021 23:59,"b'RT @IFPI_org: Congratulations to @BTS_bighit, the winners of the #IFPIGlobalArtistChart 2020! \xf0\x9f\x91\x8f\n\nHere\xe2\x80\x99s the top \xf0\x9f\x94\x9f in full:\n\n\xf0\x9f\xa5\x87@BTS_twt\n\xf0\x9f\xa5\x88@tay\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @txtpictures: \xc2\xb7 \xc2\xb7 txt \xe2\x80\xba #\xed\x88\xac\xeb\xaa\xa8\xeb\xa1\x9c\xec\x9a\xb0\xeb\xb0\x94\xec\x9d\xb4\xed\x88\xac\xea\xb2\x8c\xeb\x8d\x94\xc2\xa0\n\xc2\xa9 ebsfmlisten \xe2\x88\x9e 210307\n\n#TOMORROW_X_TOGETHER\xc2\xa0 @TXT_members @TXT_bighit https://t.co/HXo0ZHIoph'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @ETCanada: As the first #KPop group to *ever* earn a #GRAMMYs nomination, @bts_bighit are ""honoured"" and ""nervous"" \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa4 Plus, they reveal\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @jeondrafts: BIGHIT CLOSE THE SWIMMING POOLS! https://t.co/Ott2dm5FSY'"
09-03-2021 23:59,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
09-03-2021 23:59,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @txtpictures: \xc2\xb7 \xc2\xb7 txt \xe2\x80\xba #\xed\x88\xac\xeb\xaa\xa8\xeb\xa1\x9c\xec\x9a\xb0\xeb\xb0\x94\xec\x9d\xb4\xed\x88\xac\xea\xb2\x8c\xeb\x8d\x94\xc2\xa0\n\xc2\xa9 naver \xe2\x88\x9e 210307\n\n#TOMORROW_X_TOGETHER\xc2\xa0 @TXT_members @TXT_bighit https://t.co/Mv8A98bU7i'"
09-03-2021 23:59,"b'RT @txtpictures: \xc2\xb7 \xc2\xb7 yeonjun \xe2\x80\xba #\xec\x97\xb0\xec\xa4\x80  \xc2\xa0\n\xc2\xa9 dfluff \xe2\x88\x9e gif \n\n#TOMORROW_X_TOGETHER\xc2\xa0 @TXT_members @TXT_bighit\n\nhttps://t.co/mVKuHp6g2B'"
09-03-2021 23:58,"b""RT @rain_in_moon: Seokjin deserves the world. He doesn't deserve to feel doubtful or less appreciated. We support you Seokjin  .\nTREAT JIN\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:58,"b'RT @BTSPressData: What led @BTS_twt to the music\xc2\xa0industry leaderboard?\xc2\xa0\n\n\xe2\x80\x9cOf course it\xe2\x80\x99s ARMY,\xe2\x80\x9d Jungkook said.\xc2\xa0\xc2\xa0\n\nV also included\xc2\xa0the other\xe2\x80\xa6'"
09-03-2021 23:58,"b'RT @seoknatural: A lot of people seem to think that BigHit could never do wrong and know what\xe2\x80\x99s best for BTS. They think BigHit and BTS are\xe2\x80\xa6'"
09-03-2021 23:58,"b'RT @ETCanada: As the first #KPop group to *ever* earn a #GRAMMYs nomination, @bts_bighit are ""honoured"" and ""nervous"" \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa4 Plus, they reveal\xe2\x80\xa6'"
09-03-2021 23:58,"b'RT @mrkate: Decorating a @bts_bighit inspired room for an adult fan! #BTS #BTSARMY what elements should we try to work in? Any stan secrets?'"
09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
09-03-2021 23:58,"b'RT @chocolate1r7: ""Everyone, aren\'t we one entity\xef\xbc\x9fwhat if out of the 7 of us, 6 go out and leave 1 behind, can you imagine how upset that p\xe2\x80\xa6'"
09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
